epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.356,0.81765,1.70039,1.21918,0.73707,0.78459,0.78986,0.64884,0.67709,0.99482,1.09854,0.00332613,0.00332613,0.00332613
2,403.659,0.83746,1.02187,1.20011,0.71488,0.73906,0.76671,0.60584,0.78689,1.05966,1.18422,0.00661551,0.00661551,0.00661551
3,603.098,0.94588,1.15358,1.27455,0.47644,0.46562,0.37613,0.24638,1.26384,2.80472,1.61256,0.0098609,0.0098609,0.0098609
4,801.762,1.01965,1.24236,1.33193,0.74357,0.70935,0.76134,0.58914,0.86355,1.04495,1.24868,0.009802,0.009802,0.009802
5,1000.41,0.9752,1.11072,1.29548,0.75903,0.80003,0.81784,0.66255,0.74604,0.82652,1.14411,0.009736,0.009736,0.009736
6,1199.34,0.93936,1.02139,1.27494,0.7819,0.75264,0.80219,0.63863,0.79996,0.83843,1.20071,0.00967,0.00967,0.00967
7,1396.41,0.90615,0.95355,1.25511,0.78355,0.74556,0.81024,0.64953,0.75805,0.8678,1.14475,0.009604,0.009604,0.009604
8,1592.63,0.88688,0.90936,1.24602,0.85526,0.79484,0.86796,0.72062,0.65624,0.68119,1.07821,0.009538,0.009538,0.009538
9,1789.12,0.86063,0.85175,1.23016,0.83015,0.83091,0.86412,0.72798,0.64511,0.65563,1.06778,0.009472,0.009472,0.009472
10,1985.5,0.84198,0.83319,1.21535,0.83123,0.86383,0.88553,0.75021,0.62411,0.57411,1.04318,0.009406,0.009406,0.009406
11,2182.03,0.8336,0.7996,1.20484,0.83726,0.87277,0.89204,0.75758,0.61661,0.56461,1.03691,0.00934,0.00934,0.00934
12,2378.79,0.80987,0.76471,1.19242,0.84297,0.85803,0.88403,0.7587,0.60436,0.55676,1.034,0.009274,0.009274,0.009274
13,2575.26,0.79702,0.73027,1.18075,0.87751,0.83111,0.89823,0.77716,0.59077,0.54886,1.02538,0.009208,0.009208,0.009208
14,2771.72,0.78392,0.7285,1.17227,0.87489,0.85073,0.9006,0.78188,0.5827,0.52126,1.01546,0.009142,0.009142,0.009142
15,2968.13,0.78361,0.69751,1.17051,0.86349,0.8825,0.91787,0.79116,0.58366,0.5085,1.01601,0.009076,0.009076,0.009076
16,3164.68,0.77203,0.69149,1.16976,0.84468,0.89341,0.91147,0.78809,0.5797,0.50191,1.01313,0.00901,0.00901,0.00901
17,3361.1,0.76148,0.6741,1.16242,0.88232,0.87406,0.9195,0.80163,0.56758,0.46533,1.00565,0.008944,0.008944,0.008944
18,3557.57,0.75331,0.65812,1.15523,0.86612,0.88295,0.91985,0.8078,0.55271,0.45759,0.99535,0.008878,0.008878,0.008878
19,3753.9,0.7466,0.6452,1.14971,0.85026,0.9039,0.91981,0.80392,0.56535,0.47549,0.99948,0.008812,0.008812,0.008812
20,3950.74,0.73595,0.6372,1.14574,0.89765,0.88334,0.92907,0.81805,0.53176,0.44067,0.97614,0.008746,0.008746,0.008746
21,4147.34,0.72955,0.62729,1.13817,0.88532,0.88566,0.93156,0.8246,0.53242,0.44286,0.97736,0.00868,0.00868,0.00868
22,4343.82,0.71861,0.61975,1.13328,0.89592,0.89724,0.92556,0.81174,0.54148,0.4468,0.98766,0.008614,0.008614,0.008614
23,4540.23,0.71814,0.61099,1.13294,0.89833,0.88655,0.93035,0.82631,0.51319,0.41758,0.96204,0.008548,0.008548,0.008548
24,4736.71,0.71601,0.60126,1.12921,0.88591,0.90487,0.92897,0.82147,0.5275,0.41464,0.97842,0.008482,0.008482,0.008482
25,4933.13,0.70507,0.59045,1.12476,0.90424,0.88386,0.93115,0.82891,0.50551,0.40499,0.95913,0.008416,0.008416,0.008416
26,5129.19,0.68869,0.57598,1.11254,0.90345,0.88851,0.93358,0.83196,0.51054,0.40179,0.96647,0.00835,0.00835,0.00835
27,5325.66,0.69669,0.57548,1.11708,0.89327,0.89867,0.9336,0.83122,0.50735,0.41242,0.96893,0.008284,0.008284,0.008284
28,5521.96,0.6907,0.5651,1.11476,0.89243,0.91314,0.93115,0.8326,0.49842,0.40131,0.95546,0.008218,0.008218,0.008218
29,5718.45,0.68183,0.55571,1.11245,0.91502,0.89965,0.93823,0.84209,0.49041,0.38452,0.94756,0.008152,0.008152,0.008152
30,5914.76,0.68182,0.55326,1.10576,0.91868,0.89112,0.94115,0.84048,0.50138,0.36777,0.95593,0.008086,0.008086,0.008086
31,6111.16,0.67751,0.55125,1.10379,0.92735,0.87351,0.93667,0.8396,0.49161,0.39375,0.94862,0.00802,0.00802,0.00802
32,6307.51,0.67436,0.54966,1.1049,0.92214,0.89599,0.94145,0.8461,0.48524,0.36849,0.94175,0.007954,0.007954,0.007954
33,6503.92,0.68055,0.54737,1.10513,0.91241,0.89854,0.93804,0.84598,0.47826,0.37892,0.9356,0.007888,0.007888,0.007888
34,6700.38,0.66312,0.5335,1.0876,0.9005,0.91788,0.94553,0.85023,0.48314,0.35672,0.94058,0.007822,0.007822,0.007822
35,6896.86,0.66146,0.52859,1.09083,0.89895,0.91272,0.9378,0.8465,0.47845,0.36553,0.94213,0.007756,0.007756,0.007756
36,7093.26,0.65157,0.52226,1.09057,0.91665,0.90156,0.93598,0.84673,0.47243,0.37692,0.93691,0.00769,0.00769,0.00769
