epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1761,0.87445,3.1877,1.2132,0.75714,0.64887,0.68947,0.55512,0.72127,1.36369,1.08715,0.00331897,0.00331897,0.00331897
2,121.922,0.88718,1.71787,1.17965,0.70057,0.65917,0.70296,0.56409,0.72581,1.31693,1.09712,0.00660839,0.00660839,0.00660839
3,178.841,0.94638,1.58955,1.207,0.55681,0.51025,0.52467,0.37151,0.97773,2.15047,1.33476,0.00985382,0.00985382,0.00985382
4,235.826,1.03325,1.54645,1.25432,0.52059,0.49365,0.4741,0.32964,1.05573,2.56813,1.39003,0.009802,0.009802,0.009802
5,292.706,0.99144,1.30903,1.22727,0.71044,0.62917,0.70448,0.55544,0.81136,1.43876,1.1519,0.009736,0.009736,0.009736
6,350.067,0.95477,1.14446,1.20315,0.80172,0.76898,0.81027,0.64704,0.7674,0.92994,1.11489,0.00967,0.00967,0.00967
7,407.858,0.91678,1.04827,1.18284,0.78494,0.75322,0.80511,0.65172,0.71582,0.96021,1.09119,0.009604,0.009604,0.009604
8,464.838,0.89129,0.96233,1.16673,0.74161,0.72711,0.77984,0.62744,0.74112,0.96874,1.0997,0.009538,0.009538,0.009538
9,523.161,0.87235,0.90082,1.15632,0.76025,0.73411,0.78477,0.62843,0.74745,0.88827,1.10263,0.009472,0.009472,0.009472
10,585.022,0.85125,0.85607,1.14451,0.79617,0.76918,0.80569,0.67056,0.6588,0.878,1.04221,0.009406,0.009406,0.009406
11,646.061,0.84294,0.83186,1.13811,0.80614,0.79054,0.84047,0.70364,0.66531,0.74963,1.04499,0.00934,0.00934,0.00934
12,708.885,0.83063,0.79773,1.13125,0.85467,0.83791,0.87633,0.73162,0.65805,0.66017,1.03324,0.009274,0.009274,0.009274
13,770.848,0.81833,0.76242,1.12213,0.84499,0.80517,0.86231,0.72448,0.65137,0.6724,1.03348,0.009208,0.009208,0.009208
14,830.108,0.8202,0.75513,1.12708,0.87568,0.84949,0.90739,0.76434,0.62181,0.55179,1.01196,0.009142,0.009142,0.009142
15,886.652,0.80143,0.73284,1.11619,0.84138,0.85593,0.89201,0.7591,0.61914,0.59203,1.0147,0.009076,0.009076,0.009076
16,944.607,0.79837,0.72211,1.11262,0.81802,0.89397,0.90772,0.77551,0.60078,0.57806,0.99367,0.00901,0.00901,0.00901
17,1004.32,0.7873,0.70215,1.10816,0.86082,0.86379,0.89788,0.76284,0.62539,0.56839,1.00782,0.008944,0.008944,0.008944
18,1062.85,0.78117,0.69178,1.1035,0.87767,0.88936,0.92261,0.79532,0.58402,0.50082,0.98169,0.008878,0.008878,0.008878
19,1121.83,0.77648,0.67432,1.10007,0.87341,0.89714,0.92215,0.80317,0.56636,0.47902,0.97264,0.008812,0.008812,0.008812
20,1181.06,0.76847,0.66913,1.10397,0.89734,0.84881,0.92157,0.79776,0.57371,0.50662,0.97803,0.008746,0.008746,0.008746
21,1241.96,0.75838,0.66171,1.09257,0.90268,0.90113,0.93279,0.811,0.56218,0.45613,0.97091,0.00868,0.00868,0.00868
22,1303.62,0.74797,0.64445,1.08672,0.87504,0.8634,0.91041,0.78709,0.58773,0.52883,0.98468,0.008614,0.008614,0.008614
23,1365.1,0.75601,0.63725,1.08993,0.88949,0.87821,0.92621,0.80682,0.56343,0.46103,0.96828,0.008548,0.008548,0.008548
24,1426.49,0.74339,0.62917,1.08002,0.87425,0.88586,0.92211,0.80796,0.54998,0.46271,0.96109,0.008482,0.008482,0.008482
25,1487.73,0.73687,0.62536,1.07839,0.87814,0.89884,0.92716,0.8122,0.54095,0.44297,0.95381,0.008416,0.008416,0.008416
26,1549.12,0.73794,0.60862,1.08019,0.90072,0.88535,0.9334,0.81823,0.54781,0.43754,0.95655,0.00835,0.00835,0.00835
27,1610.3,0.72352,0.60375,1.06918,0.87952,0.90295,0.9327,0.82279,0.54099,0.44304,0.95455,0.008284,0.008284,0.008284
28,1667.07,0.72722,0.60045,1.0733,0.90899,0.88721,0.93902,0.83247,0.52885,0.42723,0.94651,0.008218,0.008218,0.008218
29,1726.03,0.71903,0.59131,1.07088,0.90732,0.89489,0.93414,0.821,0.53778,0.44345,0.95126,0.008152,0.008152,0.008152
30,1785.73,0.71892,0.588,1.06832,0.91626,0.8822,0.93347,0.82794,0.52314,0.4223,0.94091,0.008086,0.008086,0.008086
31,1846.55,0.7114,0.57841,1.06451,0.89126,0.8989,0.92394,0.81596,0.52049,0.42515,0.94427,0.00802,0.00802,0.00802
32,1907.84,0.71299,0.57945,1.0656,0.90639,0.89957,0.93506,0.83027,0.51762,0.40703,0.93179,0.007954,0.007954,0.007954
33,1969.03,0.71185,0.57865,1.06711,0.89261,0.90381,0.93571,0.83293,0.51121,0.41483,0.93639,0.007888,0.007888,0.007888
34,2031.6,0.69777,0.56677,1.05408,0.88818,0.89626,0.92866,0.82295,0.51471,0.42349,0.93469,0.007822,0.007822,0.007822
35,2092.65,0.70092,0.56847,1.05857,0.90558,0.8971,0.93658,0.83415,0.51778,0.39532,0.94144,0.007756,0.007756,0.007756
36,2154.3,0.69382,0.55403,1.05763,0.91461,0.90671,0.93642,0.83955,0.50502,0.39072,0.93174,0.00769,0.00769,0.00769
37,2215.77,0.69157,0.55055,1.05293,0.92106,0.89041,0.93765,0.83315,0.50808,0.39633,0.93119,0.007624,0.007624,0.007624
38,2277.47,0.68793,0.5509,1.05127,0.89534,0.91194,0.93328,0.83415,0.50483,0.39457,0.93058,0.007558,0.007558,0.007558
39,2339.86,0.68838,0.54747,1.04872,0.89097,0.91533,0.93983,0.84158,0.50235,0.37739,0.93237,0.007492,0.007492,0.007492
40,2400.75,0.68212,0.5441,1.05167,0.90567,0.91476,0.93575,0.84218,0.49328,0.37573,0.92382,0.007426,0.007426,0.007426
41,2460.56,0.68295,0.53277,1.04901,0.91749,0.90225,0.94152,0.84495,0.49625,0.38408,0.92634,0.00736,0.00736,0.00736
42,2522.37,0.6831,0.54135,1.04936,0.91457,0.90375,0.93806,0.84651,0.48952,0.38247,0.91882,0.007294,0.007294,0.007294
43,2583.61,0.66988,0.52532,1.04371,0.90725,0.90059,0.93726,0.84603,0.4824,0.38265,0.91582,0.007228,0.007228,0.007228
44,2645.56,0.67416,0.53212,1.04192,0.91933,0.89829,0.94291,0.85147,0.48259,0.37492,0.91447,0.007162,0.007162,0.007162
45,2707.32,0.67176,0.52506,1.04298,0.89815,0.92073,0.94714,0.85275,0.48542,0.37731,0.92072,0.007096,0.007096,0.007096
46,2768.3,0.67043,0.51935,1.04026,0.92934,0.89947,0.94765,0.85311,0.48159,0.36428,0.91802,0.00703,0.00703,0.00703
