epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.7,1.15987,3.11135,1.32637,0.58878,0.4154,0.41692,0.29348,1.13165,2.03916,1.34051,0.00332502,0.00332502,0.00332502
2,337.586,1.05943,1.59511,1.23075,0.54483,0.46727,0.43137,0.30117,1.12175,1.90079,1.32265,0.00661441,0.00661441,0.00661441
3,503.364,1.12612,1.58985,1.26213,0.41079,0.29328,0.25614,0.1615,1.42789,3.2393,1.60102,0.0098598,0.0098598,0.0098598
4,668.99,1.21529,1.71032,1.31177,0.61091,0.41608,0.43896,0.2982,1.24583,2.06754,1.44717,0.009802,0.009802,0.009802
5,834.757,1.14758,1.51246,1.28177,0.5523,0.49268,0.47127,0.32404,1.15649,1.89872,1.36408,0.009736,0.009736,0.009736
6,1000.2,1.10721,1.34597,1.25285,0.6037,0.53424,0.52213,0.37117,1.10196,1.55853,1.32262,0.00967,0.00967,0.00967
7,1164.77,1.06579,1.25389,1.22813,0.66426,0.55724,0.55497,0.40142,1.04393,1.54202,1.26905,0.009604,0.009604,0.009604
8,1329.92,1.03798,1.16117,1.20551,0.63484,0.6012,0.58864,0.43137,1.01816,1.38897,1.23798,0.009538,0.009538,0.009538
9,1495.03,1.01175,1.0903,1.18625,0.67472,0.5984,0.58596,0.42841,1.02145,1.39438,1.23767,0.009472,0.009472,0.009472
10,1659.37,0.98326,1.04027,1.17676,0.69639,0.60472,0.6103,0.44597,0.99369,1.34044,1.22497,0.009406,0.009406,0.009406
11,1823.08,0.97229,0.98446,1.16736,0.65204,0.65439,0.63222,0.4693,0.97088,1.2942,1.20212,0.00934,0.00934,0.00934
12,1986.29,0.94916,0.94649,1.15752,0.6763,0.65543,0.64666,0.48386,0.94779,1.23609,1.18996,0.009274,0.009274,0.009274
13,2149.62,0.93763,0.91478,1.1482,0.73018,0.67068,0.66414,0.50176,0.9351,1.20111,1.18077,0.009208,0.009208,0.009208
14,2313.37,0.91512,0.87356,1.1313,0.69892,0.65861,0.66665,0.50434,0.91937,1.14557,1.1691,0.009142,0.009142,0.009142
15,2476.65,0.91951,0.86014,1.13026,0.72955,0.65849,0.67768,0.51324,0.92693,1.14584,1.17192,0.009076,0.009076,0.009076
16,2640.11,0.89846,0.83615,1.11946,0.75561,0.65825,0.68012,0.51402,0.92134,1.15293,1.16582,0.00901,0.00901,0.00901
