epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.246,0.96769,2.26895,1.28277,0.6782,0.72426,0.74247,0.57467,0.82823,1.11237,1.17148,0.00332577,0.00332577,0.00332577
2,359.887,0.91676,1.07408,1.19811,0.65209,0.67153,0.68561,0.51959,0.89673,1.32332,1.24144,0.00661516,0.00661516,0.00661516
3,537.684,0.99602,1.16217,1.24271,0.60804,0.51585,0.5657,0.39478,1.16459,1.88435,1.50869,0.00986054,0.00986054,0.00986054
4,713.911,1.08721,1.29467,1.30632,0.69614,0.67618,0.71299,0.53472,0.95323,1.30716,1.29705,0.009802,0.009802,0.009802
5,889.046,1.03261,1.15894,1.26927,0.73486,0.73503,0.77462,0.59837,0.8756,1.03787,1.23612,0.009736,0.009736,0.009736
6,1064.44,0.99838,1.05302,1.24309,0.75123,0.79609,0.8091,0.62764,0.85284,0.91508,1.21493,0.00967,0.00967,0.00967
7,1239.54,0.97191,0.98958,1.22677,0.82658,0.77743,0.81399,0.64527,0.81927,0.88159,1.19329,0.009604,0.009604,0.009604
8,1414.94,0.94718,0.94091,1.21249,0.76556,0.8076,0.82263,0.6623,0.76929,0.84095,1.14653,0.009538,0.009538,0.009538
9,1589.83,0.92205,0.9018,1.2027,0.79574,0.81704,0.83481,0.67797,0.75307,0.75848,1.13252,0.009472,0.009472,0.009472
10,1765.29,0.91864,0.87238,1.19431,0.84584,0.80134,0.83704,0.68607,0.74761,0.76454,1.12727,0.009406,0.009406,0.009406
11,1940,0.89792,0.85222,1.18899,0.80271,0.84286,0.84912,0.69329,0.7332,0.70138,1.10476,0.00934,0.00934,0.00934
12,2115.36,0.88563,0.82177,1.17861,0.8304,0.84607,0.86197,0.71307,0.71782,0.67558,1.10265,0.009274,0.009274,0.009274
