epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.651,1.11414,1.82114,1.16837,0.60125,0.31163,0.31687,0.20832,1.2125,1.82808,1.25177,0.00333183,0.00333183,0.00333183
2,745.472,1.1619,1.78123,1.19381,0.58626,0.31866,0.32606,0.2089,1.27876,1.81969,1.31739,0.00644522,0.00644522,0.00644522
3,1107.27,1.20823,1.78385,1.22661,0.53108,0.33255,0.32155,0.20179,1.33503,1.88072,1.38217,0.0093386,0.0093386,0.0093386
4,1465.98,1.19753,1.68249,1.22389,0.63554,0.34066,0.36509,0.24284,1.23517,1.684,1.29713,0.00901,0.00901,0.00901
5,1824.95,1.13574,1.46103,1.18887,0.6813,0.38222,0.40254,0.27578,1.17072,1.51659,1.24922,0.00868,0.00868,0.00868
6,2184.03,1.09928,1.32199,1.16476,0.65327,0.42582,0.4433,0.30597,1.14946,1.42908,1.23192,0.00835,0.00835,0.00835
7,2542.65,1.07085,1.22136,1.14856,0.70693,0.42768,0.45469,0.31708,1.11936,1.35768,1.21305,0.00802,0.00802,0.00802
8,2901.46,1.04149,1.13469,1.13152,0.68571,0.4535,0.46932,0.33042,1.08224,1.26469,1.18088,0.00769,0.00769,0.00769
9,3259.99,1.02757,1.09104,1.12286,0.73509,0.4581,0.47591,0.33849,1.08173,1.25628,1.17922,0.00736,0.00736,0.00736
10,3618.16,1.01482,1.04235,1.1164,0.72687,0.48058,0.49834,0.36099,1.04867,1.18118,1.16257,0.00703,0.00703,0.00703
11,3975.45,0.99993,1.00191,1.10856,0.721,0.48563,0.50838,0.36647,1.03891,1.16456,1.15501,0.0067,0.0067,0.0067
12,4332.5,0.98139,0.96609,1.0983,0.74994,0.48028,0.50648,0.36897,1.0258,1.16276,1.14824,0.00637,0.00637,0.00637
13,4689.48,0.9689,0.93496,1.09156,0.7502,0.50348,0.53171,0.39021,1.01653,1.15368,1.14109,0.00604,0.00604,0.00604
14,5046.43,0.96023,0.91162,1.0889,0.74377,0.50988,0.54461,0.40168,1.00377,1.13003,1.13036,0.00571,0.00571,0.00571
15,5403.58,0.95027,0.8827,1.08138,0.7776,0.49598,0.53691,0.39696,0.99612,1.11187,1.12718,0.00538,0.00538,0.00538
16,5760.58,0.94139,0.87023,1.07786,0.73774,0.52426,0.55246,0.40983,0.9825,1.08113,1.11768,0.00505,0.00505,0.00505
17,6117.21,0.93265,0.84535,1.07194,0.77825,0.51058,0.55405,0.41348,0.97523,1.0825,1.11072,0.00472,0.00472,0.00472
18,6474.19,0.92364,0.8233,1.06759,0.78621,0.51785,0.56006,0.41965,0.97085,1.06204,1.10681,0.00439,0.00439,0.00439
19,6830.68,0.91182,0.80306,1.06068,0.77458,0.51836,0.55911,0.42023,0.96185,1.0583,1.10277,0.00406,0.00406,0.00406
20,7187.53,0.90185,0.78544,1.05659,0.77472,0.52753,0.56489,0.42581,0.95805,1.05336,1.09897,0.00373,0.00373,0.00373
21,7556.04,0.87265,0.70285,1.05589,0.81051,0.516,0.57062,0.43132,0.95065,1.04054,1.09409,0.0034,0.0034,0.0034
22,7910.17,0.85344,0.66684,1.04751,0.79944,0.53649,0.57495,0.43571,0.94564,1.03608,1.09033,0.00307,0.00307,0.00307
23,8264.01,0.8427,0.64767,1.03993,0.82308,0.53547,0.5748,0.43678,0.94,1.03176,1.08654,0.00274,0.00274,0.00274
24,8617.46,0.82896,0.62182,1.03325,0.81285,0.54096,0.58094,0.44287,0.93353,1.01969,1.08288,0.00241,0.00241,0.00241
25,8970.74,0.81828,0.60525,1.02665,0.82034,0.5409,0.58198,0.44511,0.92833,1.0151,1.07921,0.00208,0.00208,0.00208
26,9324.62,0.80506,0.58342,1.01867,0.82991,0.53807,0.58388,0.44717,0.92478,1.00976,1.07665,0.00175,0.00175,0.00175
27,9679.08,0.79286,0.56699,1.01347,0.82959,0.54055,0.58774,0.4503,0.92173,1.00405,1.07435,0.00142,0.00142,0.00142
28,10033.4,0.78261,0.54824,1.00585,0.83205,0.54169,0.58804,0.4517,0.9194,0.99948,1.07267,0.00109,0.00109,0.00109
29,10387.9,0.77063,0.53487,1.00091,0.83174,0.54269,0.58803,0.45271,0.9171,0.99618,1.07093,0.00076,0.00076,0.00076
30,10742.7,0.75896,0.52047,0.99657,0.83072,0.54421,0.58879,0.45383,0.91566,0.99341,1.06984,0.00043,0.00043,0.00043
