epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.624,0.93533,1.63414,1.24328,0.70884,0.79684,0.81365,0.56792,0.9285,1.16124,1.27808,0.000184583,0.000184583,0.000184583
2,215.016,0.98415,1.03925,1.24242,0.70248,0.78973,0.85597,0.6177,0.93507,0.98963,1.24012,0.000357709,0.000357709,0.000357709
3,320.565,0.99317,0.97344,1.24878,0.7593,0.78627,0.86006,0.60555,0.94852,1.29231,1.27242,0.000518603,0.000518603,0.000518603
4,425.612,0.96552,0.88306,1.2205,0.89607,0.88416,0.94043,0.70648,0.83017,0.68536,1.15515,0.000500956,0.000500956,0.000500956
5,530.779,0.9375,0.80902,1.20253,0.86624,0.88512,0.92283,0.71228,0.83861,0.65849,1.17201,0.000482608,0.000482608,0.000482608
6,710.956,0.90011,0.75984,1.19027,0.91331,0.93219,0.961,0.76394,0.72615,0.53618,1.08001,0.00046426,0.00046426,0.00046426
7,816.246,0.87881,0.70302,1.17015,0.8902,0.92007,0.95239,0.74317,0.75788,0.54006,1.11268,0.000445912,0.000445912,0.000445912
8,920.937,0.84628,0.6699,1.14785,0.92207,0.89729,0.94967,0.75738,0.71507,0.54976,1.07139,0.000427564,0.000427564,0.000427564
9,1025.64,0.83819,0.64425,1.1522,0.91119,0.93039,0.96309,0.78986,0.68769,0.48804,1.04957,0.000409216,0.000409216,0.000409216
10,1130.51,0.81272,0.60973,1.12757,0.94056,0.93667,0.96845,0.78801,0.68219,0.446,1.04875,0.000390868,0.000390868,0.000390868
11,1235.33,0.78917,0.60552,1.11577,0.93082,0.94307,0.96896,0.80217,0.67705,0.44793,1.03763,0.00037252,0.00037252,0.00037252
12,1340.08,0.77811,0.56769,1.10951,0.90492,0.95522,0.96173,0.79599,0.6474,0.46491,1.01596,0.000354172,0.000354172,0.000354172
13,1444.41,0.75653,0.54264,1.09843,0.9186,0.94746,0.96543,0.79901,0.66173,0.44485,1.03388,0.000335824,0.000335824,0.000335824
14,1548.3,0.75906,0.53178,1.10255,0.95677,0.95331,0.98105,0.83062,0.61928,0.38066,1.00707,0.000317476,0.000317476,0.000317476
15,1653.63,0.74727,0.52356,1.09746,0.94445,0.96805,0.97731,0.83102,0.61585,0.38149,1.00179,0.000299128,0.000299128,0.000299128
16,1758.15,0.74042,0.51585,1.09379,0.9521,0.95936,0.9745,0.84113,0.5845,0.367,0.97886,0.00028078,0.00028078,0.00028078
17,1862.22,0.71502,0.49522,1.07847,0.96395,0.95752,0.97837,0.83724,0.58952,0.35491,0.9809,0.000262432,0.000262432,0.000262432
18,1966.17,0.71141,0.47889,1.07261,0.94422,0.95252,0.97531,0.83117,0.60708,0.38145,0.99132,0.000244084,0.000244084,0.000244084
19,2070.19,0.69081,0.46749,1.06899,0.95742,0.96151,0.97728,0.84599,0.57092,0.35602,0.97161,0.000225736,0.000225736,0.000225736
20,2174.32,0.67198,0.44529,1.05145,0.94634,0.96726,0.97772,0.85136,0.56139,0.35224,0.95795,0.000207388,0.000207388,0.000207388
21,2294.93,0.54862,0.34637,0.96513,0.95875,0.96482,0.98079,0.85928,0.54858,0.33641,0.94857,0.00018904,0.00018904,0.00018904
22,2398.87,0.546,0.32967,0.96033,0.97822,0.97137,0.98738,0.87561,0.53127,0.29443,0.93579,0.000170692,0.000170692,0.000170692
23,2503.83,0.52191,0.31784,0.94559,0.96578,0.97338,0.986,0.86818,0.53976,0.31332,0.93921,0.000152344,0.000152344,0.000152344
24,2608.65,0.50965,0.305,0.93963,0.96069,0.95728,0.98022,0.86654,0.54709,0.33265,0.9497,0.000133996,0.000133996,0.000133996
25,2712.8,0.49237,0.28364,0.92559,0.96205,0.9753,0.98549,0.88401,0.50515,0.30215,0.91867,0.000115648,0.000115648,0.000115648
26,2816.98,0.47928,0.27436,0.9187,0.96061,0.97966,0.98886,0.8916,0.49109,0.27222,0.90762,9.73e-05,9.73e-05,9.73e-05
27,2921.11,0.46212,0.26555,0.91204,0.96268,0.98698,0.98855,0.8972,0.47759,0.25732,0.8994,7.8952e-05,7.8952e-05,7.8952e-05
28,3025.15,0.4456,0.24932,0.90032,0.97062,0.97685,0.98934,0.9035,0.46127,0.25522,0.89356,6.0604e-05,6.0604e-05,6.0604e-05
29,3129.14,0.43043,0.2378,0.88857,0.96734,0.98494,0.99031,0.90842,0.44943,0.24408,0.88631,4.2256e-05,4.2256e-05,4.2256e-05
30,3233.26,0.41706,0.22564,0.88016,0.9709,0.98547,0.99141,0.91467,0.43943,0.23393,0.87952,2.3908e-05,2.3908e-05,2.3908e-05
