epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.817,0.96256,2.14664,1.28495,0.73098,0.72534,0.76923,0.59771,0.83735,0.98948,1.20602,0.00332955,0.00332955,0.00332955
2,391.544,0.92977,1.1251,1.22311,0.7291,0.7247,0.75424,0.57394,0.85443,1.05695,1.22139,0.0064273,0.0064273,0.0064273
3,583.01,1.01223,1.2165,1.26304,0.77582,0.61283,0.68045,0.47654,1.03664,1.31633,1.37084,0.00928934,0.00928934,0.00928934
4,773.396,1.06997,1.28577,1.29924,0.72486,0.75453,0.76205,0.58261,0.89252,1.03259,1.24775,0.00893929,0.00893929,0.00893929
5,964.204,1.02531,1.14259,1.26765,0.73534,0.78064,0.80115,0.62217,0.85886,0.88133,1.22802,0.00858571,0.00858571,0.00858571
6,1154.13,0.99007,1.04824,1.24587,0.76646,0.80365,0.82094,0.65363,0.80708,0.82227,1.18006,0.00823214,0.00823214,0.00823214
7,1345,0.94969,0.9805,1.22296,0.81523,0.77391,0.83165,0.66089,0.78288,0.78288,1.15097,0.00795172,0.00795172,0.00795172
8,1535.66,0.93452,0.93111,1.21319,0.84252,0.79466,0.84093,0.68422,0.74809,0.74083,1.12089,0.00761034,0.00761034,0.00761034
9,1726.92,0.90609,0.88507,1.19748,0.82451,0.83467,0.85734,0.70674,0.72965,0.66958,1.11158,0.00726897,0.00726897,0.00726897
10,1917.31,0.89592,0.85697,1.19334,0.81968,0.83979,0.84835,0.70158,0.72512,0.65427,1.10909,0.00692759,0.00692759,0.00692759
11,2108.08,0.87855,0.82646,1.1785,0.85354,0.84975,0.86183,0.71098,0.70461,0.62964,1.08583,0.00658621,0.00658621,0.00658621
12,2298.74,0.85253,0.78436,1.1675,0.85651,0.8266,0.86816,0.72206,0.70293,0.6239,1.09342,0.00624483,0.00624483,0.00624483
13,2489.23,0.8458,0.76396,1.15814,0.86929,0.83461,0.87107,0.73164,0.68617,0.61001,1.08076,0.00590345,0.00590345,0.00590345
14,2680.27,0.82427,0.73782,1.15027,0.83113,0.85999,0.87485,0.73923,0.67491,0.58723,1.0678,0.00556207,0.00556207,0.00556207
15,2870.63,0.81655,0.71907,1.13707,0.86214,0.84469,0.87114,0.73983,0.67196,0.58885,1.06112,0.00522069,0.00522069,0.00522069
16,3061.38,0.80329,0.69715,1.13962,0.84912,0.87275,0.88419,0.75089,0.65494,0.56068,1.05431,0.00487931,0.00487931,0.00487931
17,3251.47,0.79882,0.69095,1.13249,0.87456,0.8626,0.88217,0.75407,0.64627,0.54799,1.04608,0.00453793,0.00453793,0.00453793
18,3442.22,0.77961,0.66416,1.11955,0.84858,0.87066,0.88207,0.75287,0.64182,0.54521,1.03996,0.00419655,0.00419655,0.00419655
19,3632.59,0.77513,0.65781,1.12216,0.83488,0.88871,0.88894,0.76436,0.63373,0.53428,1.0371,0.00385517,0.00385517,0.00385517
20,3832.31,0.69196,0.5617,1.08123,0.86478,0.87745,0.88886,0.76343,0.63242,0.53765,1.03411,0.00351379,0.00351379,0.00351379
21,4018.43,0.67638,0.54387,1.07091,0.85165,0.87855,0.88656,0.76632,0.61855,0.53141,1.02142,0.00317241,0.00317241,0.00317241
22,4204.44,0.66768,0.5206,1.06383,0.87919,0.87992,0.89824,0.77842,0.61176,0.52156,1.01595,0.00283103,0.00283103,0.00283103
23,4390.69,0.64809,0.5026,1.05049,0.84805,0.89302,0.89618,0.77929,0.60428,0.50538,1.00641,0.00248966,0.00248966,0.00248966
24,4576.5,0.63862,0.48856,1.04428,0.87776,0.89038,0.90436,0.79021,0.5951,0.49293,1.00605,0.00214828,0.00214828,0.00214828
25,4762.26,0.62539,0.46726,1.03528,0.87352,0.89429,0.90479,0.79561,0.58605,0.49552,0.99847,0.0018069,0.0018069,0.0018069
26,4947.91,0.61058,0.45214,1.02463,0.87785,0.90239,0.90412,0.79658,0.58327,0.49059,0.99679,0.00146552,0.00146552,0.00146552
27,5133.41,0.60294,0.43782,1.02088,0.87899,0.88838,0.90237,0.79673,0.5794,0.48953,0.99278,0.00112414,0.00112414,0.00112414
28,5320.36,0.58798,0.42418,1.01289,0.87187,0.89682,0.9086,0.80386,0.5727,0.48127,0.99155,0.000782759,0.000782759,0.000782759
29,5416.05,0.58399,0.41232,1.0071,0.88387,0.89459,0.9077,0.80369,0.57138,0.47557,0.98891,0.000441379,0.000441379,0.000441379
